Nível_da_estrutura_de_tópicos;EDT;Nome;Duração (dias);Início;Término;Predecessoras;Sucessoras;Predecessoras de EDT;Sucessoras de EDT;Crítica
4;2.9.4.1;CARGA E DESCARGA MECANICA DE SOLO UTILIZANDO CAMINHAO BASCULANTE 6,0M3/16T E PA CARREGADEIRA SOBRE PNEUS 128 HP, CAPACIDADE DA CAÇAMBA 1,7 A 2,8 M3, PESO OPERACIONAL 11632 KG;0.12 ;13/02/2025 17:13;14/02/2025 09:09;107;480;2.9.1.1;3;Não
4;2.9.4.2;TRANSPORTE COMERCIAL COM CAMINHAO BASCULANTE 6 M3, RODOVIA PAVIMENTADA;6.14 ;13/02/2025 17:13;24/02/2025 09:22;107;480;2.9.1.1;3;Não
3;2.9.5;ESCAVAÇÕES PARA AS FUNDAÇÕES;10.87 ;13/02/2025 11:39;28/02/2025 10:36;;;;;Sim
4;2.9.5.1;BLOCOS;3.26 ;13/02/2025 11:39;18/02/2025 14:42;;;;;Sim
5;2.9.5.1.1;ESCAVAÇÃO MANUAL PARA BLOCO DE COROAMENTO OU SAPATA (INCLUINDO ESCAVAÇÃO PARA COLOCAÇÃO DE FÔRMAS). AF_06/2017;2.94 ;13/02/2025 11:39;18/02/2025 11:10;"74;6;7;8;9;10;11;12;15;16;75";122;"2.7.1.1;2.1.1.1.1;2.1.1.1.2;2.1.1.1.3;2.1.1.1.4;2.1.1.1.5;2.1.1.1.6;2.1.1.1.7;2.1.2.1.1;2.1.2.1.2;2.7.2";2.9.5.1.3;Sim
5;2.9.5.1.2;ESCAVAÇÃO MECANIZADA PARA BLOCO DE COROAMENTO OU SAPATA COM RETROESCAVADEIRA (INCLUINDO ESCAVAÇÃO PARA COLOCAÇÃO DE FÔRMAS). AF_06/2017;0.39 ;13/02/2025 11:39;13/02/2025 15:46;"74;75";"122;130";"2.7.1.1;2.7.2";"2.9.5.1.3;2.9.7.1";Não
5;2.9.5.1.3;PREPARO DE FUNDO DE VALA COM LARGURA MENOR QUE 1,5 M, EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIA. AF_06/2016;0.32 ;18/02/2025 11:10;18/02/2025 14:42;"121;120";124;"2.9.5.1.2;2.9.5.1.1";2.9.5.2.1;Sim
4;2.9.5.2;VIGAS BALDRAME;7.61 ;18/02/2025 14:42;28/02/2025 10:36;;;;;Sim
5;2.9.5.2.1;ESCAVAÇÃO MECANIZADA PARA VIGA BALDRAME COM MINI-ESCAVADEIRA (INCLUINDO ESCAVAÇÃO PARA COLOCAÇÃO DE FÔRMAS). AF_06/2017;2.1 ;18/02/2025 14:42;20/02/2025 15:28;122;"125;130";2.9.5.1.3;"2.9.5.2.2;2.9.7.1";Sim
5;2.9.5.2.2;PREPARO DE FUNDO DE VALA COM LARGURA MENOR QUE 1,5 M, EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIA. AF_06/2016;1.44 ;20/02/2025 15:28;24/02/2025 09:57;124;126;2.9.5.2.1;2.9.5.2.3;Sim
5;2.9.5.2.3;COMPACTACAO DE TERRENO POR MEIO MANUAL;4.08 ;24/02/2025 09:57;28/02/2025 10:36;125;"137;147";2.9.5.2.2;"2.10.2.1.1;2.10.3.1.1";Sim
3;2.9.6;ATERRO E REATERROS PARA AS FUNDAÇÕES;0.41 ;15/04/2025 17:27;16/04/2025 11:45;;;;;Não
4;2.9.6.1;REATERRO DE VALA/CAVA SEM CONTROLE DE COMPACTAÇÃO , UTILIZANDO RETRO-ESCAVADEIRA E COMPACTACADOR VIBRATORIO COM MATERIAL REAPROVEITADO;0.41 ;15/04/2025 17:27;16/04/2025 11:45;241;"391;132";2.12.3.2.2.3;"2.15.2.1;2.9.8";Não
3;2.9.7;CARGA,TRANS E DESC E ESPLHA DE MAT PROV DA FUNDAÇÃO;3.98 ;20/02/2025 15:28;26/02/2025 15:19;;;;;Não
4;2.9.7.1;CARGA E DESCARGA MECANICA DE SOLO UTILIZANDO CAMINHAO BASCULANTE 6,0M3/16T E PA CARREGADEIRA SOBRE PNEUS 128 HP, CAPACIDADE DA CAÇAMBA 1,7 A 2,8 M3, PESO OPERACIONAL 11632 KG;0.08 ;20/02/2025 15:28;20/02/2025 16:04;"121;124";131;"2.9.5.1.2;2.9.5.2.1";2.9.7.2;Não
4;2.9.7.2;TRANSPORTE COM CAMINHÃO BASCULANTE DE 6 M³, EM VIA URBANA PAVIMENTADA, ADICIONAL PARA DMT EXCEDENTE A 30 KM (UNIDADE: M3XKM). AF_07/2020;3.91 ;20/02/2025 16:04;26/02/2025 15:19;130;480;2.9.7.1;3;Não
3;2.9.8;Conclusão do Movimento de terra;0;16/04/2025 11:45;16/04/2025 11:45;128;391;2.9.6.1;2.15.2.1;Não
2;2.10;FUNDAÇÃO;80.59 ;06/01/2025 07:00;28/04/2025 14:42;;;;;Não
3;2.10.1;FUNDAÇÕES PROFUNDAS - ESTACAS;0;06/01/2025 07:00;06/01/2025 07:00;1;480;1;3;Não
3;2.10.2;BLOCOS DE FUNDAÇÃO;22.61 ;28/02/2025 10:36;01/04/2025 16:27;;;;;Sim
4;2.10.2.1;LASTRO;6.86 ;28/02/2025 10:36;11/03/2025 09:30;;;;;Sim
5;2.10.2.1.1;LASTRO COM MATERIAL GRANULAR, APLICADO EM BLOCOS DE COROAMENTO, ESPESSURA DE *10 CM*. AF_08/2017;6.86 ;28/02/2025 10:36;11/03/2025 09:30;126;139;2.9.5.2.3;2.10.2.2.1;Sim
4;2.10.2.2;FORMAS;8.05 ;11/03/2025 09:30;21/03/2025 09:52;;;;;Sim
5;2.10.2.2.1;FABRICAÇÃO, MONTAGEM E DESMONTAGEM DE FÔRMA PARA BLOCO DE COROAMENTO, EM CHAPA DE MADEIRA COMPENSADA RESINADA, E=17 MM, 2 UTILIZAÇÕES. AF_06/2017;7.22 ;11/03/2025 09:30;21/03/2025 09:52;"74;137;75";141;"2.7.1.1;2.10.2.1.1;2.7.2";2.10.2.3.1;Sim
4;2.10.2.3;ARMADURA;4.6 ;21/03/2025 09:52;27/03/2025 15:40;;;;;Sim
5;2.10.2.3.1;ARMACAO ACO CA-50 P/1,0M3 DE CONCRETO;4.08 ;21/03/2025 09:52;27/03/2025 15:40;139;143;2.10.2.2.1;2.10.2.4.1;Sim
4;2.10.2.4;CONCRETO;3.1 ;27/03/2025 15:40;01/04/2025 16:27;;;;;Sim
5;2.10.2.4.1;CONCRETO USINADO BOMBEAVEL, CLASSE DE RESISTENCIA C25, COM BRITA 0 E 1, SLUMP = 100 +/- 20 MM, INCLUI SERVICO DE BOMBEAMENTO (NBR 8953);1.13 ;27/03/2025 15:40;28/03/2025 16:40;141;"144;45;47";2.10.2.3.1;"2.10.2.4.2;2.3.2.1.1;2.3.2.2.1";Sim
5;2.10.2.4.2;LANÇAMENTO COM USO DE BOMBA, ADENSAMENTO E ACABAMENTO DE CONCRETO EM ESTRUTURAS. AF_12/2015;1.97 ;28/03/2025 16:40;01/04/2025 16:27;143;"243;225;200;324";2.10.2.4.1;"2.12.3.3.1;2.12.2.3.1;2.12.1.1.3.1;2.12.5.5.6";Sim
3;2.10.3;VIGAS BALDRAMES;17.57 ;28/02/2025 10:36;25/03/2025 16:10;;;;;Não
4;2.10.3.1;LASTRO;0.35 ;28/02/2025 10:36;28/02/2025 14:24;;;;;Não
5;2.10.3.1.1;LASTRO COM MATERIAL GRANULAR, APLICADO EM BLOCOS DE COROAMENTO, ESPESSURA DE *10 CM*. AF_08/2017;0.09 ;28/02/2025 10:36;28/02/2025 14:24;126;149;2.9.5.2.3;2.10.3.2.1;Não
4;2.10.3.2;FORMAS;10.25 ;28/02/2025 14:24;14/03/2025 16:22;;;;;Não
5;2.10.3.2.1;FABRICAÇÃO, MONTAGEM E DESMONTAGEM DE FÔRMA PARA VIGA BALDRAME, EM CHAPA DE MADEIRA COMPENSADA RESINADA, E=17 MM, 2 UTILIZAÇÕES. AF_06/2017;10.25 ;28/02/2025 14:24;14/03/2025 16:22;147;151;2.10.3.1.1;2.10.3.3.1;Não
4;2.10.3.3;ARMADURA;4.76 ;14/03/2025 16:22;21/03/2025 14:24;;;;;Não
5;2.10.3.3.1;ARMACAO ACO CA-50 P/1,0M3 DE CONCRETO;4.37 ;14/03/2025 16:22;21/03/2025 14:24;149;"153;154";2.10.3.2.1;"2.10.3.4.1;2.10.3.4.2";Não
4;2.10.3.4;CONCRETO;2.22 ;21/03/2025 14:24;25/03/2025 16:10;;;;;Não
5;2.10.3.4.1;CONCRETO USINADO BOMBEAVEL, CLASSE DE RESISTENCIA C25, COM BRITA 0 E 1, SLUMP = 100 +/- 20 MM, INCLUI SERVICO DE BOMBEAMENTO (NBR 8953);1.13 ;21/03/2025 14:24;24/03/2025 15:24;151;164;2.10.3.3.1;2.10.5.1;Não
5;2.10.3.4.2;LANÇAMENTO COM USO DE BOMBA, ADENSAMENTO E ACABAMENTO DE CONCRETO EM ESTRUTURAS. AF_12/2015;2.22 ;21/03/2025 14:24;25/03/2025 16:10;151;164;2.10.3.3.1;2.10.5.1;Não
3;2.10.4;LAJE DO SOLO;5.19 ;21/04/2025 13:13;28/04/2025 14:42;;;;;Sim
4;2.10.4.1;LASTRO;1.46 ;21/04/2025 13:13;22/04/2025 16:53;;;;;Sim
5;2.10.4.1.1;LASTRO COM MATERIAL GRANULAR (PEDRA BRITADA N.2), APLICADO EM PISOS OU LAJES SOBRE SOLO, ESPESSURA DE *10 CM*. AF_08/2017;1.46 ;21/04/2025 13:13;22/04/2025 16:53;391;159;2.15.2.1;2.10.4.2.1;Sim
4;2.10.4.2;ARMADURA;2.6 ;22/04/2025 16:53;25/04/2025 13:42;;;;;Sim
5;2.10.4.2.1;ARMACAO EM TELA DE ACO SOLDADA NERVURADA Q-138, ACO CA-60, 4,2MM, MALHA 10X10CM;1.87 ;22/04/2025 16:53;25/04/2025 13:42;157;"161;162";2.10.4.1.1;"2.10.4.3.1;2.10.4.3.2";Sim
4;2.10.4.3;CONCRETO;1.13 ;25/04/2025 13:42;28/04/2025 14:42;;;;;Sim
5;2.10.4.3.1;CONCRETO USINADO BOMBEAVEL, CLASSE DE RESISTENCIA C25, COM BRITA 0 E 1, SLUMP = 100 +/- 20 MM, INCLUI SERVICO DE BOMBEAMENTO (NBR 8953);1.13 ;25/04/2025 13:42;28/04/2025 14:42;"159;164";"169;165";"2.10.4.2.1;2.10.5.1";"2.11.1.1.1;2.10.6";Sim
5;2.10.4.3.2;LANÇAMENTO COM USO DE BOMBA, ADENSAMENTO E ACABAMENTO DE CONCRETO EM ESTRUTURAS. AF_12/2015;1.11 ;25/04/2025 13:42;28/04/2025 14:34;"159;164";"169;165";"2.10.4.2.1;2.10.5.1";"2.11.1.1.1;2.10.6";Não
3;2.10.5;IMPERMEABILIZAÇÕES;5.6 ;25/03/2025 16:10;02/04/2025 11:56;;;;;Não
4;2.10.5.1;IMPERMEABILIZACAO DE ESTRUTURAS ENTERRADAS, COM TINTA ASFALTICA, DUAS DEMAOS.;5.6 ;25/03/2025 16:10;02/04/2025 11:56;"153;154";"161;162";"2.10.3.4.1;2.10.3.4.2";"2.10.4.3.1;2.10.4.3.2";Não
3;2.10.6;Conclusão das Fundações;0;28/04/2025 14:42;28/04/2025 14:42;"161;162";169;"2.10.4.3.1;2.10.4.3.2";2.11.1.1.1;Sim
2;2.11;ESTRUTURA;28.15 ;28/04/2025 14:42;05/06/2025 15:55;;;;;Sim
3;2.11.1;CONCRETO ARMADO;28.15 ;28/04/2025 14:42;05/06/2025 15:55;;;;;Sim
4;2.11.1.1;PILARES;8.73 ;28/04/2025 14:42;09/05/2025 11:32;;;;;Sim
5;2.11.1.1.1;MONTAGEM E DESMONTAGEM DE FÔRMA DE PILARES RETANGULARES E ESTRUTURAS SIMILARES COM ÁREA MÉDIA DAS SEÇÕES MENOR OU IGUAL A 0,25 M², PÉ-DIREITO SIMPLES, EM CHAPA DE MADEIRA COMPENSADA RESINADA, 2 UTILIZAÇÕES. AF_12/2015;4.77 ;28/04/2025 14:42;05/05/2025 11:54;"161;162;165";170TI-20%;"2.10.4.3.1;2.10.4.3.2;2.10.6";2.11.1.1.2[TI-20%];Sim
5;2.11.1.1.2;ARMACAO ACO CA-50 P/1,0M3 DE CONCRETO;3.78 ;02/05/2025 13:16;08/05/2025 10:32;169TI-20%;"171;172";2.11.1.1.1[TI-20%];"2.11.1.1.3;2.11.1.1.4";Sim
5;2.11.1.1.3;CONCRETO USINADO BOMBEAVEL, CLASSE DE RESISTENCIA C25, COM BRITA 0 E 1, SLUMP = 100 +/- 20 MM, INCLUI SERVICO DE BOMBEAMENTO (NBR 8953);1.13 ;08/05/2025 10:32;09/05/2025 11:32;170;"179;174";2.11.1.1.2;"2.11.1.3.1;2.11.1.2.1";Sim
5;2.11.1.1.4;LANÇAMENTO COM USO DE BOMBA, ADENSAMENTO E ACABAMENTO DE CONCRETO EM ESTRUTURAS. AF_12/2015;0.92 ;08/05/2025 10:32;09/05/2025 09:55;170;"179;174";2.11.1.1.2;"2.11.1.3.1;2.11.1.2.1";Não
4;2.11.1.2;VIGAS;19.42 ;09/05/2025 11:32;05/06/2025 15:55;;;;;Sim
5;2.11.1.2.1;MONTAGEM E DESMONTAGEM DE FÔRMA DE VIGA, ESCORAMENTO METÁLICO, PÉ-DIREITO SIMPLES, EM CHAPA DE MADEIRA RESINADA, 2 UTILIZAÇÕES. AF_09/2020;6.78 ;09/05/2025 11:32;26/05/2025 11:32;"172;171";175TI-50%;"2.11.1.1.4;2.11.1.1.3";2.11.1.2.2[TI-50%];Sim
5;2.11.1.2.2;ARMACAO ACO CA-50 P/1,0M3 DE CONCRETO;3.49 ;20/05/2025 17:25;04/06/2025 13:15;174TI-50%;"176;177";2.11.1.2.1[TI-50%];"2.11.1.2.3;2.11.1.2.4";Sim
5;2.11.1.2.3;CONCRETO USINADO BOMBEAVEL, CLASSE DE RESISTENCIA C25, COM BRITA 0 E 1, SLUMP = 100 +/- 20 MM, INCLUI SERVICO DE BOMBEAMENTO (NBR 8953);1.13 ;04/06/2025 13:15;05/06/2025 14:15;175;"368TI+14 diasd;183";2.11.1.2.2;"2.13.1.1[TI+14 diasd];2.11.2";Não
5;2.11.1.2.4;LANÇAMENTO COM USO DE BOMBA, ADENSAMENTO E ACABAMENTO DE CONCRETO EM ESTRUTURAS. AF_12/2015;1.33 ;04/06/2025 13:15;05/06/2025 15:55;175;"368TI+14 diasd;183";2.11.1.2.2;"2.13.1.1[TI+14 diasd];2.11.2";Sim
4;2.11.1.3;LAJES;8.96 ;09/05/2025 11:32;22/05/2025 11:11;;;;;Não
5;2.11.1.3.1;MONTAGEM E DESMONTAGEM DE FÔRMA DE LAJE MACIÇA, PÉ-DIREITO SIMPLES, EM CHAPA DE MADEIRA COMPENSADA RESINADA, 2 UTILIZAÇÕES. AF_09/2020;40.8 hrs;09/05/2025 11:32;16/05/2025 13:20;"172;171";180TI-50%;"2.11.1.1.4;2.11.1.1.3";2.11.1.3.2[TI-50%];Não
5;2.11.1.3.2;ARMACAO ACO CA-50 P/1,0M3 DE CONCRETO;5.24 ;13/05/2025 16:56;21/05/2025 09:51;179TI-50%;"181;182";2.11.1.3.1[TI-50%];"2.11.1.3.3;2.11.1.3.4";Não
5;2.11.1.3.3;CONCRETO USINADO BOMBEAVEL, CLASSE DE RESISTENCIA C25, COM BRITA 0 E 1, SLUMP = 100 +/- 20 MM, INCLUI SERVICO DE BOMBEAMENTO (NBR 8953);1.13 ;21/05/2025 09:51;22/05/2025 10:51;"180;188";368TI+14 diasd;"2.11.1.3.2;2.12.1.1.1.1";2.13.1.1[TI+14 diasd];Não
5;2.11.1.3.4;LANÇAMENTO COM USO DE BOMBA, ADENSAMENTO E ACABAMENTO DE CONCRETO EM ESTRUTURAS. AF_12/2015;1.17 ;21/05/2025 09:51;22/05/2025 11:11;"180;188";"368TI+14 diasd;196;191";"2.11.1.3.2;2.12.1.1.1.1";"2.13.1.1[TI+14 diasd];2.12.1.1.2.3.1;2.12.1.1.2.1.1";Não
3;2.11.2;Conclusão da Estrutura;0;05/06/2025 15:55;05/06/2025 15:55;"176;177";368TI+14 diasd;"2.11.1.2.3;2.11.1.2.4";2.13.1.1[TI+14 diasd];Sim
2;2.12;INSTALAÇÕES, LOUÇAS E METAIS;156.09 ;01/04/2025 16:27;05/11/2025 17:11;;;;;Sim
3;2.12.1;INSTALAÇÕES HIDRÁULICAS;76.17 ;01/04/2025 16:27;16/07/2025 17:47;;;;;Não
4;2.12.1.1;ALIMENTAÇÃO;40.97 ;01/04/2025 16:27;28/05/2025 16:11;;;;;Não
5;2.12.1.1.1;TUBULAÇÕES E CONEXÕES;1.13 ;04/04/2025 09:27;07/04/2025 10:27;;;;;Não
6;2.12.1.1.1.1;(COMPOSIÇÃO REPRESENTATIVA) DO SERVIÇO DE INSTALAÇÃO DE TUBOS DE PVC, SOLDÁVEL, ÁGUA FRIA, DN 25 MM (INSTALADO EM RAMAL, SUB-RAMAL, RAMAL DE DISTRIBUIÇÃO OU PRUMADA), INCLUSIVE CONEXÕES, CORTES E FIXAÇÕES, PARA PRÉDIOS. AF_10/2015;1.13 ;04/04/2025 09:27;07/04/2025 10:27;201;"181;182";2.12.1.1.3.2;"2.11.1.3.3;2.11.1.3.4";Não
5;2.12.1.1.2;EQUIPAMENTOS E ACESSÓRIOS;4.5 ;22/05/2025 11:11;28/05/2025 16:11;;;;;Não
6;2.12.1.1.2.1;HIDRÔMETRO;2.25 ;22/05/2025 11:11;26/05/2025 14:11;;;;;Não
7;2.12.1.1.2.1.1;CAIXA EM CONCRETO PRÉ-MOLDADO PARA ABRIGO DE HIDRÔMETRO COM DN 20 (½?) ? FORNECIMENTO E INSTALAÇÃO. AF_11/2016;1.13 ;22/05/2025 11:11;23/05/2025 13:11;182;192;2.11.1.3.4;2.12.1.1.2.1.2;Não
7;2.12.1.1.2.1.2;HIDRÔMETRO DN 25 (¾ ), 5,0 M³/H FORNECIMENTO E INSTALAÇÃO. AF_11/2016;1.13 ;23/05/2025 13:11;26/05/2025 14:11;191;194;2.12.1.1.2.1.1;2.12.1.1.2.2.1;Não
6;2.12.1.1.2.2;REGISTROS;1.13 ;26/05/2025 14:11;27/05/2025 15:11;;;;;Não
7;2.12.1.1.2.2.1;"REGISTRO DE GAVETA BRUTO, LATÃO, ROSCÁVEL, 3/4""- FORNECIMENTO E INSTALAÇÃO. AF_08/2021";1.13 ;26/05/2025 14:11;27/05/2025 15:11;192;198;2.12.1.1.2.1.2;2.12.1.1.2.4.1;Não
6;2.12.1.1.2.3;CAIXAS D'ÁGUA;1.13 ;22/05/2025 11:11;23/05/2025 13:11;;;;;Não
7;2.12.1.1.2.3.1;CAIXA D´ÁGUA EM POLIETILENO, 1000 LITROS, COM ACESSÓRIOS;1.13 ;22/05/2025 11:11;23/05/2025 13:11;182;"378;379";2.11.1.3.4;"2.14.1.1;2.14.1.2";Não
6;2.12.1.1.2.4;CAIXAS DE PASSAGEM;1.13 ;27/05/2025 15:11;28/05/2025 16:11;;;;;Não
7;2.12.1.1.2.4.1;CAIXA DE INSPEÇÃO EM CONCRETO PRÉ-MOLDADO DN 60CM COM TAMPA H= 60CM - FORNECIMENTO E INSTALACAO;1.13 ;27/05/2025 15:11;28/05/2025 16:11;194;330;2.12.1.1.2.2.1;2.12.5.6.4;Não
5;2.12.1.1.3;ESCAVAÇÕES, LASTRO, ATERRO E REATERRO;7.88 ;01/04/2025 16:27;11/04/2025 15:27;;;;;Não
6;2.12.1.1.3.1;ESCAVAÇÃO MECANIZADA DE VALA COM PROFUNDIDADE ATÉ 1,5 M (MÉDIA MONTANTEE JUSANTE/UMA COMPOSIÇÃO POR TRECHO), RETROESCAV. (0,26 M3), LARGURA MENOR QUE 0,8 M, EM SOLO DE 1A CATEGORIA, LOCAIS COM BAIXO NÍVEL DE INTERFERÊNCIA. AF_02/2021;1.13 ;01/04/2025 16:27;02/04/2025 17:27;144;"247;201";2.10.2.4.2;"2.12.3.4.1;2.12.1.1.3.2";Não
6;2.12.1.1.3.2;LASTRO DE VALA COM PREPARO DE FUNDO, LARGURA MENOR QUE 1,5 M, COM CAMADA DE BRITA, LANÇAMENTO MECANIZADO, EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIA. AF_06/2016;1.13 ;02/04/2025 17:27;04/04/2025 09:27;200;"204;188";2.12.1.1.3.1;"2.12.1.1.4.1;2.12.1.1.1.1";Não
6;2.12.1.1.3.3;REATERRO MECANIZADO DE VALA COM RETROESCAVADEIRA (CAPACIDADE DA CAÇAMBA DA RETRO: 0,26 M³ / POTÊNCIA: 88 HP), LARGURA ATÉ 0,8 M, PROFUNDIDADE ATÉ 1,5 M, COM SOLO DE 1ª CATEGORIA EM LOCAIS COM BAIXO NÍVEL DE INTERFERÊNCIA. AF_04/2016;1.13 ;10/04/2025 14:27;11/04/2025 15:27;223;"467;391";2.12.2.2.4;"2.21.2.1;2.15.2.1";Não
5;2.12.1.1.4;CARGA,TRAN E DESC E ESPALH DE MAT PRO FUN(MATERIAL D VALAS);2.25 ;04/04/2025 09:27;08/04/2025 11:27;;;;;Não
6;2.12.1.1.4.1;CARGA E DESCARGA MECANICA DE SOLO UTILIZANDO CAMINHAO BASCULANTE 6,0M3/16T E PA CARREGADEIRA SOBRE PNEUS 128 HP, CAPACIDADE DA CAÇAMBA 1,7 A 2,8 M3, PESO OPERACIONAL 11632 KG;1.13 ;04/04/2025 09:27;07/04/2025 10:27;201;205;2.12.1.1.3.2;2.12.1.1.4.2;Não
6;2.12.1.1.4.2;TRANSPORTE COM CAMINHÃO BASCULANTE DE 6 M³, EM VIA URBANA PAVIMENTADA, ADICIONAL PARA DMT EXCEDENTE A 30 KM (UNIDADE: M3XKM). AF_07/2020;1.13 ;07/04/2025 10:27;08/04/2025 11:27;204;480;2.12.1.1.4.1;3;Não
4;2.12.1.2;ÁGUA FRIA;6.75 ;08/07/2025 10:47;16/07/2025 17:47;;;;;Não
5;2.12.1.2.1;TUBULAÇÕES E CONEXÕES;3.38 ;08/07/2025 10:47;11/07/2025 14:47;;;;;Não
6;2.12.1.2.1.1;(COMPOSIÇÃO REPRESENTATIVA) DO SERVIÇO DE INSTALAÇÃO TUBOS DE PVC, SOLDÁVEL, ÁGUA FRIA, DN 32 MM (INSTALADO EM RAMAL, SUB-RAMAL, RAMAL DE DISTRIBUIÇÃO OU PRUMADA), INCLUSIVE CONEXÕES, CORTES E FIXAÇÕES, PARA PRÉDIOS. AF_10/2015;1.13 ;08/07/2025 10:47;09/07/2025 11:47;"370;375";209;"2.13.2.1;2.13.4";2.12.1.2.1.2;Não
6;2.12.1.2.1.2;(COMPOSIÇÃO REPRESENTATIVA) DO SERVIÇO DE INSTALAÇÃO DE TUBOS DE PVC, SOLDÁVEL, ÁGUA FRIA, DN 25 MM (INSTALADO EM RAMAL, SUB-RAMAL, RAMAL DE DISTRIBUIÇÃO OU PRUMADA), INCLUSIVE CONEXÕES, CORTES E FIXAÇÕES, PARA PRÉDIOS. AF_10/2015;1.13 ;09/07/2025 11:47;10/07/2025 13:47;208;210;2.12.1.2.1.1;2.12.1.2.1.3;Não
6;2.12.1.2.1.3;TUBO, PVC, SOLDÁVEL, DN 60 MM, INSTALADO EM RESERVAÇÃO DE ÁGUA DE EDIFICAÇÃO QUE POSSUA RESERVATÓRIO DE FIBRA/FIBROCIMENTO  FORNECIMENTO E INSTALAÇÃO. AF_06/2016;1.13 ;10/07/2025 13:47;11/07/2025 14:47;209;"212;427;428";2.12.1.2.1.2;"2.12.1.2.2.1;2.18.2.1;2.18.2.2";Não
5;2.12.1.2.2;REGISTROS;3.38 ;11/07/2025 14:47;16/07/2025 17:47;;;;;Não
6;2.12.1.2.2.1;"REGISTRO DE GAVETA BRUTO, LATÃO, ROSCÁVEL, 3/4"", COM ACABAMENTO E CANOPLA CROMADOS - FORNECIMENTO E INSTALAÇÃO. AF_08/2021";1.13 ;11/07/2025 14:47;14/07/2025 15:47;210;213;2.12.1.2.1.3;2.12.1.2.2.2;Não
6;2.12.1.2.2.2;"REGISTRO DE PRESSÃO BRUTO, LATÃO, ROSCÁVEL, 3/4"", COM ACABAMENTO E CANOPLA CROMADOS - FORNECIMENTO E INSTALAÇÃO. AF_08/2021";1.13 ;14/07/2025 15:47;15/07/2025 16:47;212;214;2.12.1.2.2.1;2.12.1.2.2.3;Não
6;2.12.1.2.2.3;REGISTRO DE ESFERA, PVC, SOLDÁVEL, COM VOLANTE, DN 60 MM - FORNECIMENTO E INSTALAÇÃO. AF_08/2021;1.13 ;15/07/2025 16:47;16/07/2025 17:47;213;"429;430";2.12.1.2.2.2;"2.18.2.3;2.18.2.4";Não
3;2.12.2;ÁGUAS PLUVIAIS - DRENAGEM;7.88 ;01/04/2025 16:27;11/04/2025 15:27;;;;;Não
4;2.12.2.1;TUBULAÇÕES E CONEXÕES;2.25 ;04/04/2025 09:27;08/04/2025 11:27;;;;;Não
5;2.12.2.1.1;(COMPOSIÇÃO REPRESENTATIVA) DO SERVIÇO DE INST. TUBO PVC, SÉRIE N, ESGOTO PREDIAL, DN 75 MM, (INST. EM RAMAL DE DESCARGA, RAMAL DE ESG. SANITÁRIO, PRUMADA DE ESG. SANITÁRIO OU VENTILAÇÃO), INCL. CONEXÕES, CORTES E FIXAÇÕES, P/ PRÉDIOS. AF_10/2015;1.13 ;04/04/2025 09:27;07/04/2025 10:27;226;218;2.12.2.3.2;2.12.2.1.2;Não
5;2.12.2.1.2;(COMPOSIÇÃO REPRESENTATIVA) DO SERVIÇO DE INST. TUBO PVC, SÉRIE N, ESGOTO PREDIAL, 100 MM (INST. RAMAL DESCARGA, RAMAL DE ESG. SANIT., PRUMADA ESG. SANIT., VENTILAÇÃO OU SUB-COLETOR AÉREO), INCL. CONEXÕES E CORTES, FIXAÇÕES, P/ PRÉDIOS. AF_10/2015;1.13 ;07/04/2025 10:27;08/04/2025 11:27;217;480;2.12.2.1.1;3;Não
4;2.12.2.2;EQUIPAMENTOS E ACESSÓRIOS;4.5 ;04/04/2025 09:27;10/04/2025 14:27;;;;;Não
5;2.12.2.2.1;CAIXA DE AREIA 40X40X40CM EM ALVENARIA - EXECUÇÃO;1.13 ;04/04/2025 09:27;07/04/2025 10:27;226;221;2.12.2.3.2;2.12.2.2.2;Não
5;2.12.2.2.2;CALHA EM CHAPA DE AÇO GALVANIZADO NÚMERO 24, DESENVOLVIMENTO DE 33 CM, INCLUSO TRANSPORTE VERTICAL. AF_07/2019;1.13 ;07/04/2025 10:27;08/04/2025 11:27;220;222;2.12.2.2.1;2.12.2.2.3;Não
5;2.12.2.2.3;RALO ABACAXI FERRO FUNDIDO 100mm;1.13 ;08/04/2025 11:27;09/04/2025 13:27;221;223;2.12.2.2.2;2.12.2.2.4;Não
5;2.12.2.2.4;"Canaleta no piso em concreto simples com dimensões internas de 20 x 10 cm e grelha em ferro diam. 1/2""a cada 3 cm fixados em cantoneira de 3/4"" x 1/8"" apoiada sobre requadro em cantoneira de 1"" x 3/16""";1.13 ;09/04/2025 13:27;10/04/2025 14:27;222;"227;202";2.12.2.2.3;"2.12.2.3.3;2.12.1.1.3.3";Não
4;2.12.2.3;ESCAVAÇÕES, LASTRO, ATERRO E REATERRO;7.88 ;01/04/2025 16:27;11/04/2025 15:27;;;;;Não
5;2.12.2.3.1;ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MENOR OU IGUAL A 1,30 M. AF_02/2021;1.13 ;01/04/2025 16:27;02/04/2025 17:27;144;"247;226";2.10.2.4.2;"2.12.3.4.1;2.12.2.3.2";Não
